- , Model T, Stanley Steamer, accelerator, air bag, airplane, airship, ambulance, auto accessory, automobile, automobile engine, automobile horn, baggage car, beach wagon, buffer, building, bumper, bus, cab, cabin car, cable car, cable railway, car, car door, car mirror, car seat, car window, carriage, club car, cockpit, compact, compartment, convertible, coupe, covering, cruiser, device, electric, elevator, fender, first gear, floorboard, framework, freight car, fuel system, gas guzzler, gasoline engine, gear, glove compartment, grille, guard's van, handcar, hardtop, hatchback, high gear, hood, horseless carriage, hot rod, internal-combustion engine, jeep, limousine, loaner, locomotive, luggage compartment, mail car, minicab, minicar, minivan, motor vehicle, opening, pace car, passenger car, passenger van, pedal, protective covering, racer, rear window, reverse, roadster, roof, running board, sedan, self-propelled vehicle, slip coach, sport utility, sports car, stabilizer, stabilizer bar, stock car, subcompact, sunroof, suspension, tail fin, tender, third gear, touring car, truck, used-car, van, wheeled vehicle, window
Model T, 0.000000, 1.199127, 1.215871, 1.215871, 1.770053, 1.301221, 1.199127, 1.215871, 0.747039, 1.215871, 1.215871, 1.199127, 1.199127, 1.215871, 1.770053, 1.215871, 1.199127, 1.199127, 1.199127, 1.762521, 1.301221, 0.747039, 1.215871, 1.215871, 1.215871, 1.215871, 1.762521, 1.428582, 1.667959, 1.199127, 1.310433, 1.199127, 1.199127, 1.779266, 1.199127, 1.779266, 1.199127, 1.301221, 1.215871, 1.215871, 1.215871, 1.779266, 1.428582, 1.770053, 1.199127, 1.215871, 1.779266, 1.215871, 1.215871, 1.199127, 1.199127, 1.199127, 1.199127, 1.215871, 1.215871, 1.199127, 1.199127, 1.779266, 1.199127, 1.199127, 1.199127, 1.770053, 1.215871, 1.199127, 1.651214, 1.199127, 1.199127, 1.310433, 1.779266, 1.199127, 1.199127, 1.651214, 1.779266, 1.779266, 1.199127, 1.215871, 1.215871, 1.199127, 1.215871, 1.215871, 1.199127, 1.762521, 1.199127, 1.199127, 1.199127, 1.779266, 1.215871, 1.199127, 1.199127, 1.215871, 1.215871, 1.215871, 1.199127, 1.215871, 1.199127, 1.762521, 1.199127, 1.199127, 1.310433, 1.215871
Stanley Steamer, 1.015482, 0.000000, 1.215871, 1.215871, 1.770053, 1.117576, 1.015482, 1.215871, 0.747039, 1.215871, 1.215871, 1.015482, 1.015482, 1.215871, 1.586408, 1.215871, 1.015482, 1.015482, 1.015482, 1.578876, 1.117576, 0.563394, 1.215871, 1.215871, 1.215871, 1.215871, 1.578876, 1.244938, 1.578876, 1.015482, 1.126789, 1.015482, 1.015482, 1.779266, 1.015482, 1.779266, 1.015482, 1.117576, 1.215871, 1.215871, 1.215871, 1.595621, 1.244938, 1.595621, 1.015482, 1.215871, 1.779266, 1.215871, 1.215871, 1.015482, 1.015482, 1.015482, 1.015482, 1.215871, 1.215871, 1.015482, 1.015482, 1.595621, 1.015482, 1.015482, 1.015482, 1.770053, 1.215871, 1.015482, 1.467570, 1.015482, 1.015482, 1.126789, 1.595621, 1.015482, 1.015482, 1.467570, 1.595621, 1.779266, 1.199127, 1.215871, 1.215871, 1.199127, 1.215871, 1.215871, 1.199127, 1.578876, 1.015482, 1.199127, 1.199127, 1.779266, 1.215871, 1.199127, 1.199127, 1.215871, 1.032227, 1.215871, 1.015482, 1.215871, 1.199127, 1.578876, 1.199127, 1.015482, 1.126789, 1.032227
accelerator, 1.006269, 1.175629, 0.000000, 1.192374, 0.554182, 1.108363, 1.006269, 1.192374, 0.723542, 1.192374, 1.192374, 1.006269, 1.006269, 1.192374, 1.577196, 1.192374, 1.006269, 1.006269, 1.006269, 1.569664, 1.108363, 0.554182, 1.192374, 1.192374, 1.192374, 1.192374, 1.569664, 1.235725, 1.569664, 1.006269, 1.117576, 1.006269, 1.006269, 1.755768, 1.006269, 1.755768, 1.006269, 1.108363, 1.192374, 1.192374, 1.192374, 1.586408, 1.235725, 0.554182, 1.006269, 1.192374, 1.755768, 1.192374, 1.192374, 1.006269, 1.006269, 1.006269, 1.006269, 1.192374, 1.192374, 1.006269, 1.006269, 1.586408, 1.006269, 1.006269, 1.006269, 1.746556, 1.192374, 1.006269, 1.458357, 1.006269, 1.006269, 1.117576, 1.586408, 1.006269, 1.006269, 1.458357, 0.563394, 1.755768, 1.175629, 1.192374, 1.192374, 1.175629, 1.192374, 1.192374, 1.175629, 1.569664, 1.006269, 1.175629, 1.175629, 1.755768, 1.192374, 1.175629, 1.175629, 1.192374, 1.023014, 1.192374, 1.006269, 1.192374, 1.175629, 1.569664, 1.175629, 1.006269, 1.117576, 1.023014
air bag, 1.006269, 1.175629, 1.192374, 0.000000, 1.746556, 1.108363, 1.006269, 1.192374, 0.723542, 1.192374, 1.192374, 1.006269, 1.006269, 1.192374, 1.577196, 1.192374, 1.006269, 1.006269, 1.006269, 1.569664, 1.108363, 0.554182, 1.192374, 1.192374, 1.192374, 1.192374, 1.569664, 1.235725, 1.569664, 1.006269, 1.117576, 1.006269, 1.006269, 1.755768, 1.006269, 1.755768, 1.006269, 1.108363, 1.192374, 1.192374, 1.192374, 1.586408, 1.235725, 1.586408, 1.006269, 1.192374, 1.755768, 1.192374, 1.192374, 1.006269, 1.006269, 1.006269, 1.006269, 1.192374, 1.192374, 1.006269, 1.006269, 1.586408, 1.006269, 1.006269, 1.006269, 1.746556, 1.192374, 1.006269, 1.458357, 1.006269, 1.006269, 1.117576, 1.586408, 1.006269, 1.006269, 1.458357, 1.586408, 1.755768, 1.175629, 1.192374, 1.192374, 1.175629, 1.192374, 1.192374, 1.175629, 1.569664, 1.006269, 1.175629, 1.175629, 1.755768, 1.192374, 1.175629, 1.175629, 1.192374, 1.023014, 1.192374, 1.006269, 1.192374, 1.175629, 1.569664, 1.175629, 1.006269, 1.117576, 1.023014
airplane, 1.675682, 1.845042, 0.669413, 1.861787, 0.000000, 1.777776, 1.675682, 1.861787, 1.392955, 1.861787, 1.861787, 1.675682, 1.675682, 1.861787, 1.786989, 1.861787, 1.675682, 1.675682, 1.675682, 2.239077, 1.777776, 1.223595, 1.861787, 1.861787, 1.861787, 1.861787, 2.239077, 1.905138, 2.239077, 1.675682, 1.786989, 1.675682, 1.675682, 1.232807, 1.675682, 2.425182, 1.675682, 1.777776, 1.861787, 1.861787, 1.861787, 2.255822, 1.905138, 1.223595, 1.675682, 1.861787, 2.425182, 1.861787, 1.861787, 1.675682, 1.675682, 1.675682, 1.675682, 1.861787, 0.669413, 1.675682, 1.675682, 2.255822, 1.675682, 1.675682, 1.675682, 2.415969, 1.861787, 1.675682, 2.127770, 1.675682, 1.675682, 1.786989, 2.255822, 1.675682, 1.675682, 2.127770, 1.232807, 1.232807, 1.845042, 1.861787, 1.861787, 1.845042, 1.232807, 1.861787, 1.845042, 2.239077, 1.675682, 1.845042, 1.845042, 2.425182, 1.861787, 1.845042, 1.845042, 1.684895, 1.692427, 1.861787, 1.675682, 1.861787, 1.845042, 1.786989, 1.845042, 1.675682, 1.786989, 1.692427
airship, 1.121501, 1.350956, 1.338826, 1.338826, 1.893008, 0.000000, 1.121501, 1.338826, 1.861787, 1.338826, 1.338826, 1.121501, 1.121501, 1.338826, 1.692427, 1.338826, 1.121501, 1.121501, 1.121501, 1.684895, 1.223595, 0.669413, 1.338826, 1.338826, 1.338826, 1.338826, 1.684895, 1.350956, 1.684895, 1.121501, 1.232807, 1.121501, 1.121501, 1.902221, 1.121501, 1.902221, 1.121501, 1.223595, 1.338826, 1.338826, 1.338826, 1.701640, 1.350956, 1.701640, 1.121501, 1.338826, 1.902221, 1.338826, 1.338826, 1.121501, 1.121501, 1.121501, 1.121501, 1.338826, 1.338826, 1.121501, 1.121501, 1.701640, 1.121501, 1.121501, 1.121501, 1.893008, 1.338826, 1.121501, 1.573588, 1.121501, 1.121501, 1.232807, 1.701640, 1.121501, 1.121501, 1.573588, 1.701640, 1.902221, 1.350956, 1.338826, 1.338826, 1.350956, 1.338826, 1.338826, 1.350956, 1.684895, 1.121501, 1.350956, 1.350956, 1.902221, 1.338826, 1.350956, 1.350956, 1.338826, 1.138245, 1.338826, 1.121501, 1.338826, 1.350956, 1.684895, 1.350956, 1.121501, 1.232807, 1.138245
ambulance, 1.199127, 1.199127, 1.215871, 1.215871, 1.770053, 1.301221, 0.000000, 1.215871, 0.747039, 1.215871, 1.215871, 1.199127, 1.199127, 1.215871, 1.770053, 1.215871, 1.199127, 1.199127, 1.199127, 1.762521, 1.301221, 0.747039, 1.215871, 1.215871, 1.215871, 1.215871, 1.762521, 1.428582, 1.667959, 1.199127, 1.310433, 1.199127, 1.199127, 1.779266, 1.199127, 1.779266, 1.199127, 1.301221, 1.215871, 1.215871, 1.215871, 1.779266, 1.428582, 1.770053, 1.199127, 1.215871, 1.779266, 1.215871, 1.215871, 1.199127, 1.199127, 1.199127, 1.199127, 1.215871, 1.215871, 1.199127, 1.199127, 1.779266, 1.199127, 1.199127, 1.199127, 1.770053, 1.215871, 1.199127, 1.651214, 1.199127, 1.199127, 1.310433, 1.779266, 1.199127, 1.199127, 1.651214, 1.779266, 1.779266, 1.199127, 1.215871, 1.215871, 1.199127, 1.215871, 1.215871, 1.199127, 1.762521, 1.199127, 1.199127, 1.199127, 1.779266, 1.215871, 1.199127, 1.199127, 1.215871, 1.215871, 1.215871, 1.199127, 1.215871, 1.199127, 1.762521, 1.199127, 1.199127, 1.310433, 1.215871
auto accessory, 1.006269, 1.175629, 1.192374, 1.192374, 1.746556, 1.108363, 1.006269, 0.000000, 0.723542, 1.192374, 1.192374, 1.006269, 1.006269, 1.192374, 1.577196, 1.192374, 1.006269, 1.006269, 1.006269, 1.569664, 1.108363, 0.554182, 1.192374, 1.192374, 1.192374, 1.192374, 1.569664, 1.235725, 1.569664, 1.006269, 1.117576, 1.006269, 1.006269, 1.755768, 1.006269, 1.755768, 1.006269, 1.108363, 1.192374, 1.192374, 1.192374, 1.586408, 1.235725, 1.586408, 1.006269, 1.192374, 1.755768, 1.192374, 1.192374, 1.006269, 1.006269, 1.006269, 1.006269, 1.192374, 1.192374, 1.006269, 1.006269, 1.586408, 1.006269, 1.006269, 1.006269, 1.746556, 1.192374, 1.006269, 1.458357, 1.006269, 1.006269, 1.117576, 1.586408, 1.006269, 1.006269, 1.458357, 1.586408, 1.755768, 1.175629, 1.192374, 1.192374, 1.175629, 1.192374, 1.192374, 1.175629, 1.569664, 1.006269, 1.175629, 1.175629, 1.755768, 1.192374, 1.175629, 1.175629, 1.192374, 1.023014, 1.192374, 1.006269, 1.192374, 1.175629, 1.569664, 1.175629, 1.006269, 1.117576, 1.023014
automobile, 0.452088, 0.452088, 0.468832, 0.468832, 1.023014, 1.569664, 0.452088, 0.468832, 0.000000, 0.468832, 0.468832, 1.467570, 0.452088, 0.468832, 1.023014, 0.468832, 0.452088, 0.452088, 1.467570, 1.467570, 1.569664, 1.015482, 0.468832, 0.468832, 0.468832, 0.468832, 1.015482, 1.697025, 0.920920, 0.452088, 1.015482, 0.452088, 0.452088, 1.032227, 0.452088, 1.032227, 0.452088, 1.569664, 0.468832, 0.468832, 0.468832, 1.032227, 1.697025, 1.023014, 0.452088, 0.468832, 1.032227, 0.468832, 0.468832, 1.467570, 1.467570, 0.452088, 0.452088, 0.468832, 0.468832, 0.452088, 0.452088, 1.032227, 0.452088, 0.452088, 0.452088, 1.023014, 0.468832, 1.467570, 0.904175, 0.452088, 0.452088, 0.563394, 1.032227, 0.452088, 1.467570, 1.015482, 1.032227, 1.032227, 0.452088, 0.468832, 0.468832, 0.452088, 0.468832, 0.468832, 0.452088, 1.126789, 1.467570, 0.452088, 0.452088, 1.032227, 0.468832, 0.452088, 0.452088, 0.468832, 1.232807, 0.468832, 1.467570, 0.468832, 0.452088, 1.015482, 0.452088, 1.467570, 1.578876, 0.468832
automobile engine, 1.006269, 1.175629, 1.192374, 1.192374, 1.746556, 1.108363, 1.006269, 1.192374, 0.723542, 0.000000, 1.192374, 1.006269, 1.006269, 1.192374, 1.577196, 1.192374, 1.006269, 1.006269, 1.006269, 1.569664, 1.108363, 0.554182, 1.192374, 1.192374, 1.192374, 1.192374, 1.569664, 1.235725, 1.569664, 1.006269, 1.117576, 1.006269, 1.006269, 1.755768, 1.006269, 1.755768, 1.006269, 1.108363, 1.192374, 1.192374, 1.192374, 1.586408, 1.235725, 1.586408, 1.006269, 1.192374, 1.755768, 1.192374, 1.192374, 1.006269, 1.006269, 1.006269, 1.006269, 1.192374, 1.192374, 1.006269, 1.006269, 1.586408, 1.006269, 1.006269, 1.006269, 1.746556, 1.192374, 1.006269, 1.458357, 1.006269, 1.006269, 1.117576, 1.586408, 1.006269, 1.006269, 1.458357, 1.586408, 1.755768, 1.175629, 1.192374, 1.192374, 1.175629, 1.192374, 1.192374, 1.175629, 1.569664, 1.006269, 1.175629, 1.175629, 1.755768, 1.192374, 1.175629, 1.175629, 1.192374, 1.023014, 1.192374, 1.006269, 1.192374, 1.175629, 1.569664, 1.175629, 1.006269, 1.117576, 1.023014
