term, g(term), q_i(term)
asylum, 0.499807, 0.693532
madhouse, 0.499853, 0.693440
bird, 0.499953, 0.693241
cock, 0.499780, 0.693588
bird, 0.499953, 0.693241
crane, 0.499965, 0.693218
boy, 0.499970, 0.693207
lad, 0.499846, 0.693455
brother, 0.499901, 0.693346
monk, 0.499984, 0.693178
car, 0.499948, 0.693251
automobile, 0.499905, 0.693338
cemetery, 0.500004, 0.693139
woodland, 0.499932, 0.693283
chord, 0.499969, 0.693209
smile, 0.499968, 0.693211
coast, 0.499964, 0.693220
forest, 0.499975, 0.693196
coast, 0.499964, 0.693220
hill, 0.499951, 0.693246
coast, 0.499964, 0.693220
shore, 0.500029, 0.693088
crane, 0.499965, 0.693218
implement, 0.500073, 0.693001
food, 0.499990, 0.693167
fruit, 0.500033, 0.693082
food, 0.499990, 0.693167
rooster, 0.499968, 0.693211
forest, 0.499975, 0.693196
graveyard, 0.499908, 0.693330
furnace, 0.499967, 0.693213
stove, 0.499960, 0.693226
gem, 0.499868, 0.693411
jewel, 0.499953, 0.693241
glass, 0.499983, 0.693181
magician, 0.499902, 0.693343
journey, 0.499904, 0.693339
car, 0.499948, 0.693251
journey, 0.499904, 0.693339
voyage, 0.499898, 0.693351
lad, 0.499846, 0.693455
brother, 0.499901, 0.693346
lad, 0.499846, 0.693455
wizard, 0.499858, 0.693431
magician, 0.499902, 0.693343
wizard, 0.499858, 0.693431
midday, 0.499826, 0.693495
noon, 0.499891, 0.693366
monk, 0.499984, 0.693178
oracle, 0.499978, 0.693192
monk, 0.499984, 0.693178
slave, 0.499991, 0.693165
noon, 0.499891, 0.693366
string, 0.499978, 0.693191
rooster, 0.499968, 0.693211
voyage, 0.499898, 0.693351
shore, 0.500029, 0.693088
woodland, 0.499932, 0.693283
tool, 0.499939, 0.693268
implement, 0.500073, 0.693001
