term, g(term), q_i(term)
asylum, 0.512305, 0.668835
madhouse, 0.494519, 0.704170
bird, 0.502901, 0.687362
cock, 0.493214, 0.706811
bird, 0.502901, 0.687362
crane, 0.490230, 0.712880
boy, 0.492660, 0.707937
lad, 0.492260, 0.708748
brother, 0.512305, 0.668835
monk, 0.504348, 0.684490
car, 0.499582, 0.693984
cemetery, 0.492064, 0.709146
woodland, 0.493211, 0.706819
chord, 0.493051, 0.707143
smile, 0.490056, 0.713235
coast, 0.493099, 0.707046
forest, 0.513200, 0.667090
coast, 0.493099, 0.707046
hill, 0.488086, 0.717263
coast, 0.493099, 0.707046
shore, 0.494147, 0.704922
crane, 0.490230, 0.712880
implement, 0.496087, 0.701003
food, 0.490915, 0.711485
fruit, 0.500587, 0.691973
food, 0.490915, 0.711485
rooster, 0.493847, 0.705530
forest, 0.513200, 0.667090
furnace, 0.506997, 0.679249
stove, 0.491538, 0.710215
gem, 0.497641, 0.697876
jewel, 0.498662, 0.695826
glass, 0.488012, 0.717414
magician, 0.507577, 0.678107
journey, 0.507640, 0.677983
car, 0.499582, 0.693984
journey, 0.507640, 0.677983
voyage, 0.497791, 0.697576
lad, 0.492260, 0.708748
brother, 0.512305, 0.668835
lad, 0.492260, 0.708748
wizard, 0.494657, 0.703890
magician, 0.507577, 0.678107
wizard, 0.494657, 0.703890
noon, 0.497313, 0.698536
monk, 0.504348, 0.684490
oracle, 0.507344, 0.678565
monk, 0.504348, 0.684490
noon, 0.497313, 0.698536
string, 0.486359, 0.720809
rooster, 0.493847, 0.705530
voyage, 0.497791, 0.697576
shore, 0.494147, 0.704922
woodland, 0.493211, 0.706819
tool, 0.503060, 0.687046
implement, 0.496087, 0.701003
