term, g(term), q_i(term)
asylum, 0.492709, 0.707836
madhouse, 0.483272, 0.727176
bird, 0.510573, 0.672221
cock, 0.496225, 0.700726
bird, 0.510573, 0.672221
crane, 0.488138, 0.717156
boy, 0.487336, 0.718802
lad, 0.487336, 0.718802
brother, 0.478044, 0.738053
monk, 0.482282, 0.729226
car, 0.480050, 0.733865
automobile, 0.480112, 0.733735
cemetery, 0.490514, 0.712301
woodland, 0.499181, 0.694787
chord, 0.496602, 0.699966
smile, 0.475866, 0.742619
coast, 0.538942, 0.618148
forest, 0.512090, 0.669254
coast, 0.538942, 0.618148
hill, 0.502716, 0.687730
coast, 0.538942, 0.618148
shore, 0.551827, 0.594521
crane, 0.488138, 0.717156
implement, 0.500953, 0.691243
food, 0.465570, 0.764492
fruit, 0.516699, 0.660296
food, 0.465570, 0.764492
rooster, 0.510863, 0.671654
forest, 0.512090, 0.669254
graveyard, 0.490514, 0.712301
furnace, 0.490506, 0.712318
stove, 0.479116, 0.735813
gem, 0.479940, 0.734094
jewel, 0.487320, 0.718835
glass, 0.465523, 0.764593
magician, 0.482181, 0.729437
journey, 0.479572, 0.734862
car, 0.480050, 0.733865
journey, 0.479572, 0.734862
voyage, 0.475846, 0.742660
lad, 0.487336, 0.718802
brother, 0.478044, 0.738053
lad, 0.487336, 0.718802
wizard, 0.487270, 0.718937
magician, 0.482181, 0.729437
wizard, 0.487270, 0.718937
midday, 0.491051, 0.711208
noon, 0.491051, 0.711208
monk, 0.482282, 0.729226
oracle, 0.482231, 0.729331
monk, 0.482282, 0.729226
slave, 0.493251, 0.706737
noon, 0.491051, 0.711208
string, 0.496595, 0.699980
rooster, 0.510863, 0.671654
voyage, 0.475846, 0.742660
shore, 0.551827, 0.594521
woodland, 0.499181, 0.694787
tool, 0.493946, 0.705329
implement, 0.500953, 0.691243
