term, g(term), q_i(term)
Action film, 0.419675, 0.868274
Science fiction film, 0.419644, 0.868349
Aircraft, 0.461885, 0.772440
Airliner, 0.464978, 0.765765
Egyptian pyramids, 0.272610, 1.299711
Great Wall of China, 0.444384, 0.811067
Artificial intelligence, 0.452995, 0.791874
Cloud computing, 0.411159, 0.888776
Blog, 0.466261, 0.763009
Email, 0.465423, 0.764809
Book, 0.461333, 0.773636
Paper, 0.435334, 0.831642
Computer, 0.447861, 0.803272
Internet, 0.447006, 0.805183
Financial crisis, 0.406856, 0.899296
Bank, 0.434875, 0.832697
Category:Educators, 0.402796, 0.909326
Category:Educational theorists, 0.398521, 0.919995
Food safety, 0.398625, 0.919733
Health education, 0.374683, 0.981675
Fruit, 0.441649, 0.817240
Food, 0.435142, 0.832082
Health, 0.435765, 0.830652
Wealth, 0.382946, 0.959862
Knowledge, 0.412588, 0.885306
Information, 0.468758, 0.757668
Laptop, 0.444070, 0.811773
Tablet computer, 0.312524, 1.163075
Law, 0.465569, 0.764496
Lawyer, 0.473987, 0.746576
Literature, 0.469433, 0.756230
Medicine, 0.383241, 0.959091
Mobile phone, 0.446877, 0.805471
Television, 0.448966, 0.800808
National Basketball Association, 0.439295, 0.822585
Athletic sport, 0.367160, 1.001959
PC game, 0.404406, 0.905337
Online game, 0.415434, 0.878430
People, 0.444212, 0.811454
Human, 0.450489, 0.797422
President, 0.441262, 0.818116
Civil servant, 0.465528, 0.764583
Public transport, 0.471001, 0.752895
Train, 0.461293, 0.773721
Religion, 0.440984, 0.818746
Monk, 0.454672, 0.788178
Scholar, 0.470729, 0.753472
Academia, 0.444483, 0.810844
Scholar, 0.470729, 0.753472
Academic, 0.474925, 0.744599
Social network, 0.369738, 0.994962
Facebook, 0.385733, 0.952611
Spring festival, 0.359869, 1.022015
Christmas, 0.470498, 0.753964
Swimming, 0.444342, 0.811160
Water sport, 0.461451, 0.773380
Transport, 0.453848, 0.789992
Car, 0.443052, 0.814067
Travel agency, 0.454675, 0.788173
Service industry, 0.455382, 0.786619
