Action film, Science fiction film, 1.1875, 1.1875
Aircraft, Airliner, 1.1875, 1.1875
Egyptian pyramids, Great Wall of China, 7.8681, 13.0810
Artificial intelligence, Cloud computing, 7.7302, 6.6515
Blog, Email, 6.4561, 5.5386
Book, Paper, 13.1177, 11.2505
Computer, Internet, 4.2746, 4.1217
Financial crisis, Bank, 6.3456, 8.0360
Category:Educators, Category:Educational theorists, 7.4889, 5.6456
Food safety, Health education, 12.0695, 13.0837
Fruit, Food, 12.5350, 12.0916
Health, Wealth, 3.4455, 3.7513
Knowledge, Information, 5.4078, 6.1383
Laptop, Tablet computer, 16.2392, 10.6745
Law, Lawyer, 1.1875, 1.1875
Literature, Medicine, 8.0140, 7.5552
Mobile phone, Television, 2.2460, 2.5519
National Basketball Association, Athletic sport, 4.5024, 4.3936
PC game, Online game, 1.1875, 1.1875
People, Human, 3.1653, 2.7744
President, Civil servant, 9.4372, 9.6751
Public transport, Train, 1.8757, 1.7227
Religion, Monk, 1.7108, 1.8637
Scholar, Academia, 5.0529, 4.5091
Scholar, Academic, 3.7513, 3.4455
Social network, Facebook, 10.3310, 7.5537
Spring festival, Christmas, 11.0879, 17.5602
Swimming, Water sport, 1.7227, 1.8757
Transport, Car, 7.7119, 6.5564
Travel agency, Service industry, 8.5492, 8.0785
