Computer,Internet
Economic crises,Bank
Food safety,Health education
Fruit,Food
Knowledge,Information
Artificial intelligence,Cloud computing
Laptop,Tablet computer
Law,Lawyer
Literature,Medicine
Mobile phone,Television
National Basketball Association,Athletic sport
PC game,Online game
President,Civil servant
Public transport,Train
Religion,Monk
Scholar,Academia
Social network,Facebook
Spring festival,Christmas
Swimming,Water sport
Travel agency,Service industry
Health,Wealth
Transport,Car
People,Human
Educator,Educational theorist
Scholar,Academic
Action film,Science fiction film
Aircraft,Airliner
Ancient Egyptian pyramid,Great Wall of China
Blog,Email
Book,Paper
